OGID	esc,pips1,mef48,mef
OG122_0	1700001G11Rik,1700001G11Rik_pips1,1700001G11Rik_mef48,1700001G11Rik_mef
OG123_0	1700001J11Rik,1700001J11Rik_pips1,1700001J11Rik_mef48,1700001J11Rik_mef
OG124_0	1700001L05Rik,1700001L05Rik_pips1,1700001L05Rik_mef48,1700001L05Rik_mef
OG125_0	1700001O22Rik,1700001O22Rik_pips1,1700001O22Rik_mef48,1700001O22Rik_mef
OG126_0	1700001P01Rik,1700001P01Rik_pips1,1700001P01Rik_mef48,1700001P01Rik_mef
OG127_0	1700003E16Rik,1700003E16Rik_pips1,1700003E16Rik_mef48,1700003E16Rik_mef
OG128_0	1700003F12Rik,1700003F12Rik_pips1,1700003F12Rik_mef48,1700003F12Rik_mef
OG129_0	1700003M07Rik,1700003M07Rik_pips1,1700003M07Rik_mef48,1700003M07Rik_mef
OG130_0	1700007K13Rik,1700007K13Rik_pips1,1700007K13Rik_mef48,1700007K13Rik_mef
OG131_0	1700007L15Rik,1700007L15Rik_pips1,1700007L15Rik_mef48,1700007L15Rik_mef
OG132_0	1700008F21Rik,1700008F21Rik_pips1,1700008F21Rik_mef48,1700008F21Rik_mef
OG133_0	1700008O03Rik,1700008O03Rik_pips1,1700008O03Rik_mef48,1700008O03Rik_mef
OG134_0	1700008P20Rik,1700008P20Rik_pips1,1700008P20Rik_mef48,1700008P20Rik_mef
OG135_0	1700009P17Rik,1700009P17Rik_pips1,1700009P17Rik_mef48,1700009P17Rik_mef
OG136_0	1700010I14Rik,1700010I14Rik_pips1,1700010I14Rik_mef48,1700010I14Rik_mef
OG137_0	1700011J10Rik,1700011J10Rik_pips1,1700011J10Rik_mef48,1700011J10Rik_mef
OG138_0	1700012A16Rik,1700012A16Rik_pips1,1700012A16Rik_mef48,1700012A16Rik_mef
OG139_0	1700012B15Rik,1700012B15Rik_pips1,1700012B15Rik_mef48,1700012B15Rik_mef
OG140_0	1700013G23Rik,1700013G23Rik_pips1,1700013G23Rik_mef48,1700013G23Rik_mef
OG141_0	1700016M24Rik,1700016M24Rik_pips1,1700016M24Rik_mef48,1700016M24Rik_mef
OG142_0	1700017B05Rik,1700017B05Rik_pips1,1700017B05Rik_mef48,1700017B05Rik_mef
OG143_0	1700019A02Rik,1700019A02Rik_pips1,1700019A02Rik_mef48,1700019A02Rik_mef
OG144_0	1700019B03Rik,1700019B03Rik_pips1,1700019B03Rik_mef48,1700019B03Rik_mef
OG145_0	1700019D03Rik,1700019D03Rik_pips1,1700019D03Rik_mef48,1700019D03Rik_mef
OG146_0	1700019E19Rik,1700019E19Rik_pips1,1700019E19Rik_mef48,1700019E19Rik_mef
OG147_0	1700019G06Rik,1700019G06Rik_pips1,1700019G06Rik_mef48,1700019G06Rik_mef
OG148_0	1700019G17Rik,1700019G17Rik_pips1,1700019G17Rik_mef48,1700019G17Rik_mef
OG149_0	1700019L03Rik,1700019L03Rik_pips1,1700019L03Rik_mef48,1700019L03Rik_mef
OG150_0	1700019N12Rik,1700019N12Rik_pips1,1700019N12Rik_mef48,1700019N12Rik_mef
OG151_0	1700020I14Rik,1700020I14Rik_pips1,1700020I14Rik_mef48,1700020I14Rik_mef
OG152_0	1700020L24Rik,1700020L24Rik_pips1,1700020L24Rik_mef48,1700020L24Rik_mef
OG153_0	1700020N01Rik,1700020N01Rik_pips1,1700020N01Rik_mef48,1700020N01Rik_mef
OG154_0	1700020N15Rik,1700020N15Rik_pips1,1700020N15Rik_mef48,1700020N15Rik_mef
OG155_0	1700020O03Rik,1700020O03Rik_pips1,1700020O03Rik_mef48,1700020O03Rik_mef
OG156_0	1700021C14Rik,1700021C14Rik_pips1,1700021C14Rik_mef48,1700021C14Rik_mef
OG157_0	1700021F05Rik,1700021F05Rik_pips1,1700021F05Rik_mef48,1700021F05Rik_mef
OG158_0	1700021J08Rik,1700021J08Rik_pips1,1700021J08Rik_mef48,1700021J08Rik_mef
OG159_0	1700021K19Rik,1700021K19Rik_pips1,1700021K19Rik_mef48,1700021K19Rik_mef
OG160_0	1700021L23Rik,1700021L23Rik_pips1,1700021L23Rik_mef48,1700021L23Rik_mef
OG161_0	1700022N22Rik,1700022N22Rik_pips1,1700022N22Rik_mef48,1700022N22Rik_mef
OG162_0	1700022P22Rik,1700022P22Rik_pips1,1700022P22Rik_mef48,1700022P22Rik_mef
OG163_0	1700023F06Rik,1700023F06Rik_pips1,1700023F06Rik_mef48,1700023F06Rik_mef
OG164_0	1700023L04Rik,1700023L04Rik_pips1,1700023L04Rik_mef48,1700023L04Rik_mef
OG165_0	1700024B05Rik,1700024B05Rik_pips1,1700024B05Rik_mef48,1700024B05Rik_mef
OG166_0	1700024G13Rik,1700024G13Rik_pips1,1700024G13Rik_mef48,1700024G13Rik_mef
OG167_0	1700024J04Rik,1700024J04Rik_pips1,1700024J04Rik_mef48,1700024J04Rik_mef
OG168_0	1700024N20Rik,1700024N20Rik_pips1,1700024N20Rik_mef48,1700024N20Rik_mef
OG169_0	1700025G04Rik,1700025G04Rik_pips1,1700025G04Rik_mef48,1700025G04Rik_mef
OG170_0	1700025K23Rik,1700025K23Rik_pips1,1700025K23Rik_mef48,1700025K23Rik_mef
OG171_0	1700026L06Rik,1700026L06Rik_pips1,1700026L06Rik_mef48,1700026L06Rik_mef
OG172_0	1700028I16Rik,1700028I16Rik_pips1,1700028I16Rik_mef48,1700028I16Rik_mef
OG173_0	1700028J19Rik,1700028J19Rik_pips1,1700028J19Rik_mef48,1700028J19Rik_mef
OG174_0	1700028K03Rik,1700028K03Rik_pips1,1700028K03Rik_mef48,1700028K03Rik_mef
OG175_0	1700029F09Rik,1700029F09Rik_pips1,1700029F09Rik_mef48,1700029F09Rik_mef
OG176_0	1700029G01Rik,1700029G01Rik_pips1,1700029G01Rik_mef48,1700029G01Rik_mef
OG177_0	1700029I01Rik,1700029I01Rik_pips1,1700029I01Rik_mef48,1700029I01Rik_mef
OG178_0	1700029I15Rik,1700029I15Rik_pips1,1700029I15Rik_mef48,1700029I15Rik_mef
OG179_0	1700029J07Rik,1700029J07Rik_pips1,1700029J07Rik_mef48,1700029J07Rik_mef
OG180_0	1700029J11Rik,1700029J11Rik_pips1,1700029J11Rik_mef48,1700029J11Rik_mef
OG181_0	1700029P11Rik,1700029P11Rik_pips1,1700029P11Rik_mef48,1700029P11Rik_mef
OG182_0	1700030C10Rik,1700030C10Rik_pips1,1700030C10Rik_mef48,1700030C10Rik_mef
OG183_0	1700030J22Rik,1700030J22Rik_pips1,1700030J22Rik_mef48,1700030J22Rik_mef
OG184_0	1700030K09Rik,1700030K09Rik_pips1,1700030K09Rik_mef48,1700030K09Rik_mef
OG185_0	1700031A10Rik,1700031A10Rik_pips1,1700031A10Rik_mef48,1700031A10Rik_mef
OG186_0	1700034H14Rik,1700034H14Rik_pips1,1700034H14Rik_mef48,1700034H14Rik_mef
OG187_0	1700034H15Rik,1700034H15Rik_pips1,1700034H15Rik_mef48,1700034H15Rik_mef
OG188_0	1700034P13Rik,1700034P13Rik_pips1,1700034P13Rik_mef48,1700034P13Rik_mef
OG189_0	1700037C18Rik,1700037C18Rik_pips1,1700037C18Rik_mef48,1700037C18Rik_mef
OG190_0	1700037F24Rik,1700037F24Rik_pips1,1700037F24Rik_mef48,1700037F24Rik_mef
OG191_0	1700037H04Rik,1700037H04Rik_pips1,1700037H04Rik_mef48,1700037H04Rik_mef
OG192_0	1700040I03Rik,1700040I03Rik_pips1,1700040I03Rik_mef48,1700040I03Rik_mef
